category,component_ko,component_en,primary_purpose,required_variants,required_states,accessibility_requirement,figma_note
Layout,탭,Tab,상호배타적 콘텐츠 전환,horizontal vertical mobile,default hover focus selected disabled,tablist/tab/tabpanel 관계 명확,selected property
Layout,표,Table,행/열 데이터 비교,basic sortable responsive,default sorted empty,헤더와 셀 관계 명확,small screen handling frame
Layout,텍스트 목록,Text list,계층형 텍스트 블록 표현,ordered unordered depth,default,목록 구조가 보조기술에 전달,indent token mapping
Layout,파비콘,Favicon,브라우저/홈화면 서비스 식별,default,default,서비스 식별 이미지 대체 정보 관리,asset export sizes
Action,버튼,Button,기능 실행 또는 상태 변경,primary secondary tertiary danger text icon-only,enabled hover pressed focus disabled loading,아이콘 버튼 접근 가능한 이름 필수,type/size/state/icon properties
Action,플로팅 버튼,FAB,주요 작업 빠른 실행,single multi mobile,default hover focus pressed disabled expanded,기능명과 확장 상태 제공,screen fixed position annotation
Selection,라디오 버튼,Radio button,상호배타적 단일 선택,default card,unchecked checked focus disabled error,그룹 레이블과 옵션 레이블 제공,radio group component
Selection,체크박스,Checkbox,다중 선택 또는 독립 동의,default indeterminate card,unchecked checked indeterminate focus disabled error,레이블과 선택 상태 제공,agreement pattern mapping
Selection,셀렉트,Select,옵션 목록 중 단일 선택,default searchable,closed open focus disabled error selected,버튼/목록/옵션 관계 전달,dropdown frame state
Selection,태그,Tag,콘텐츠 분류와 선택 표시,static removable selectable,default hover focus selected disabled,삭제 버튼 접근 가능한 이름 제공,removable property
Selection,토글 스위치,Toggle switch,두 상태 전환,default with-label,on off focus disabled,현재 상태와 레이블 제공,instant apply warning note
Selection,범위 슬라이더,Range slider,연속 범위 값 선택,single range mobile,default focus dragging disabled,현재 값과 min/max 전달,value label visible
Selection,수량 토글,Quantity toggle,수량 증가/감소,min max step,default focus disabled min max,현재 수량과 버튼 비활성 상태 전달,mobile min touch target
Feedback,단계 표시기,Step indicator,절차 진행 상태 안내,horizontal vertical mobile,current complete upcoming error,현재 단계가 스크린 리더에서 확인되어야 함,step status property
Feedback,스피너,Spinner,처리/대기 상태 표시,small medium large overlay,loading,상태 메시지를 함께 제공,do not use as only feedback
Feedback,토스트,Toast,사용자 행동 결과 임시 안내,success info warning error,enter visible exit,인지 가능한 시간 동안 표시,live region note
Feedback,스낵바,Snackbar,낮은 중요도 메시지와 간단 액션 제공,default action,visible focus dismiss,액션 버튼 접근 가능한 이름 제공,mobile bottom position
Help,도움 패널,Help panel,개념/용어/옵션 설명 제공,side bottom,open close focus,패널 열림과 닫기 후 포커스 복귀,related section anchor
Help,따라하기 패널,Tutorial panel,절차형 안내 제공,step-by-step coach,open current-step complete,현재 단계와 전체 단계 안내,connected to coachmark
Help,맥락적 도움말,Contextual help,요청 시 상세 도움 제공,icon text,closed open focus,트리거와 도움말 관계 전달,do not hide required info
Help,코치마크,Coach mark,새 기능/복잡 과업 단계 안내,single sequence,open next previous complete,대상 요소와 단계 정보 전달,target connector annotation
Help,툴팁,Tooltip,짧은 부가 설명 제공,top bottom left right,hidden visible focus hover,hover뿐 아니라 focus에서도 표시,not for essential content
Help,음성지원,TTS,주요 안내 음성 읽기 지원,play pause stop,ready playing paused disabled,버튼 상태와 읽을 대상 명확화,assistive feature component
Input,날짜 입력 필드,Date input,날짜 또는 기간 입력,single range with-calendar,empty filled focus disabled readonly error,레이블/오류/자동완성 제공,input and calendar relation
Input,텍스트 영역,Textarea,여러 줄 텍스트 입력,default counter,empty filled focus disabled readonly error,레이블과 글자 수 제한 안내,counter slot
Input,텍스트 입력 필드,Text input,한 줄 텍스트 입력,default with-icon with-button,empty filled focus disabled readonly error success,입력 목적 자동완성 속성 제공,label/help/error slots
Input,파일 업로드,File upload,파일 선택/첨부,button drag list,empty selected uploading success error disabled,허용 형식/용량/삭제 버튼 안내,file item subcomponent
Settings,언어 변경,Language switcher,콘텐츠 언어 변경,dropdown link-list,closed open focus selected,현재 언어와 선택 언어 명확화,header placement
Settings,화면 크기 조정,Resize,텍스트와 화면 표시 조정,font-size display-mode,default selected focus,선택 상태와 초기화 제공,modal state frames
Content,접근 가능한 미디어,Accessible multimedia,미디어 대체 설명 제공,image video audio,default controls,자막/대체텍스트/설명 제공,media description slot
Content,숨긴 콘텐츠,Visually hidden,스크린 리더용 추가 설명 제공,default,default,화면에는 숨기고 보조기술에는 제공,annotation only component
Mobile,뒤로가기 버튼,Back button,직전 단계 또는 상위 구조로 복귀,header standalone,default pressed focus disabled,이동 목적을 접근 가능한 이름으로 제공,mobile header slot
Mobile,바텀시트,Bottom sheet,모바일 하단 집중 패널 제공,modal persistent,closed open dragging,포커스 이동과 닫기 지원,drag handle annotation
Mobile,탭바,Tab bars,모바일 핵심 화면 하단 탐색,3-items 4-items 5-items,default selected focus disabled,현재 탭 전달,icon plus label required
Mobile,스플래시 스크린,Splash screen,앱 실행 전 짧은 진입 화면,default,loading,장시간 유지 시 대체 안내 필요,mobile app only
